id,int_id,airport_int_id,active,code,icao,name,slug,slug_en,alternative_names/0,rank,global_rank_dst,dst_popularity_score,timezone,city/id,city/name,city/code,city/slug,city/continent/id,city/continent/name,city/continent/slug,city/continent/code,city/region/id,city/region/name,city/region/slug,city/autonomous_territory,city/subdivision,city/nearby_country,city/country/id,city/country/name,city/country/slug,city/country/code,location/lat,location/lon,alternative_departure_points/0/id,alternative_departure_points/0/distance,alternative_departure_points/0/duration,alternative_departure_points/1/id,alternative_departure_points/1/distance,alternative_departure_points/1/duration,alternative_departure_points/2/id,alternative_departure_points/2/distance,alternative_departure_points/2/duration,alternative_departure_points/3/id,alternative_departure_points/3/distance,alternative_departure_points/3/duration,alternative_departure_points/4/id,alternative_departure_points/4/distance,alternative_departure_points/4/duration,alternative_departure_points/5/id,alternative_departure_points/5/distance,alternative_departure_points/5/duration,alternative_departure_points/6/id,alternative_departure_points/6/distance,alternative_departure_points/6/duration,alternative_departure_points/7/id,alternative_departure_points/7/distance,alternative_departure_points/7/duration,alternative_departure_points/8/id,alternative_departure_points/8/distance,alternative_departure_points/8/duration,alternative_departure_points/9/id,alternative_departure_points/9/distance,alternative_departure_points/9/duration,alternative_departure_points/10/id,alternative_departure_points/10/distance,alternative_departure_points/10/duration,alternative_departure_points/11/id,alternative_departure_points/11/distance,alternative_departure_points/11/duration,tags/0/tag,tags/0/month_to,tags/0/month_from,tags/1/tag,tags/1/month_to,tags/1/month_from,tags/2/tag,tags/2/month_to,tags/2/month_from,providers/0,providers/1,providers/2,special/0/id,special/0/name,special/0/slug,tourist_region/0/id,tourist_region/0/name,tourist_region/0/slug,tourist_region/1/id,tourist_region/1/name,tourist_region/1/slug,tourist_region/2/id,tourist_region/2/name,tourist_region/2/slug,tourist_region/3/id,tourist_region/3/name,tourist_region/3/slug,car_rentals/0/provider_id,car_rentals/0/providers_locations/0,new_ground,routing_priority,type,alternative_departure_points/12/id,alternative_departure_points/12/distance,alternative_departure_points/12/duration,alternative_departure_points/13/id,alternative_departure_points/13/distance,alternative_departure_points/13/duration,alternative_departure_points/14/id,alternative_departure_points/14/distance,alternative_departure_points/14/duration,special/1/id,special/1/name,special/1/slug,special/2/id,special/2/name,special/2/slug,special/3/id,special/3/name,special/3/slug,special/4/id,special/4/name,special/4/slug,special/5/id,special/5/name,special/5/slug,city/subdivision/id,city/subdivision/name,city/subdivision/slug,city/subdivision/code,alternative_departure_points/15/id,alternative_departure_points/15/distance,alternative_departure_points/15/duration,providers/3,providers/4,car_rentals/0/providers_locations/1,car_rentals/0/providers_locations/2,alternative_names/1,tags/3/tag,tags/3/month_to,tags/3/month_from,tags/4/tag,tags/4/month_to,tags/4/month_from,providers/5,providers/6,providers/7,providers/8,car_rentals/0/providers_locations/3,car_rentals/0/providers_locations/4,car_rentals/0/providers_locations/5,city/autonomous_territory/id,city/autonomous_territory/name,city/autonomous_territory/slug,city/autonomous_territory/code,alternative_departure_points/16/id,alternative_departure_points/16/distance,alternative_departure_points/16/duration,providers/9,alternative_names/2,alternative_departure_points/17/id,alternative_departure_points/17/distance,alternative_departure_points/17/duration,alternative_departure_points/18/id,alternative_departure_points/18/distance,alternative_departure_points/18/duration,alternative_departure_points/19/id,alternative_departure_points/19/distance,alternative_departure_points/19/duration,tourist_region/4/id,tourist_region/4/name,tourist_region/4/slug,tourist_region/5/id,tourist_region/5/name,tourist_region/5/slug,providers/10,providers/11,providers/12,providers/13,special/6/id,special/6/name,special/6/slug,special/7/id,special/7/name,special/7/slug,alternative_departure_points/20/id,alternative_departure_points/20/distance,alternative_departure_points/20/duration,alternative_departure_points/21/id,alternative_departure_points/21/distance,alternative_departure_points/21/duration,car_rentals/0/providers_locations/6,special/8/id,special/8/name,special/8/slug,special/9/id,special/9/name,special/9/slug,special/10/id,special/10/name,special/10/slug,special/11/id,special/11/name,special/11/slug,special/12/id,special/12/name,special/12/slug,special/13/id,special/13/name,special/13/slug,tourist_region/6/id,tourist_region/6/name,tourist_region/6/slug,tourist_region/7/id,tourist_region/7/name,tourist_region/7/slug,tourist_region/8/id,tourist_region/8/name,tourist_region/8/slug,alternative_departure_points/22/id,alternative_departure_points/22/distance,alternative_departure_points/22/duration,alternative_departure_points/23/id,alternative_departure_points/23/distance,alternative_departure_points/23/duration,alternative_departure_points/24/id,alternative_departure_points/24/distance,alternative_departure_points/24/duration,providers/14,providers/15,car_rentals/0/providers_locations/7,car_rentals/0/providers_locations/8,city/nearby_country/id,city/nearby_country/code,city/nearby_country/name,city/nearby_country/slug,alternative_departure_points/25/id,alternative_departure_points/25/distance,alternative_departure_points/25/duration,alternative_departure_points/26/id,alternative_departure_points/26/distance,alternative_departure_points/26/duration,alternative_departure_points/27/id,alternative_departure_points/27/distance,alternative_departure_points/27/duration,alternative_departure_points/28/id,alternative_departure_points/28/distance,alternative_departure_points/28/duration,alternative_departure_points/29/id,alternative_departure_points/29/distance,alternative_departure_points/29/duration,alternative_departure_points/30/id,alternative_departure_points/30/distance,alternative_departure_points/30/duration,alternative_departure_points/31/id,alternative_departure_points/31/distance,alternative_departure_points/31/duration,alternative_departure_points/32/id,alternative_departure_points/32/distance,alternative_departure_points/32/duration,alternative_departure_points/33/id,alternative_departure_points/33/distance,alternative_departure_points/33/duration,alternative_departure_points/34/id,alternative_departure_points/34/distance,alternative_departure_points/34/duration,alternative_departure_points/35/id,alternative_departure_points/35/distance,alternative_departure_points/35/duration,alternative_departure_points/36/id,alternative_departure_points/36/distance,alternative_departure_points/36/duration,alternative_departure_points/37/id,alternative_departure_points/37/distance,alternative_departure_points/37/duration,alternative_departure_points/38/id,alternative_departure_points/38/distance,alternative_departure_points/38/duration,alternative_departure_points/39/id,alternative_departure_points/39/distance,alternative_departure_points/39/duration,alternative_names/3,car_rentals/0/providers_locations/9,car_rentals/0/providers_locations/10,tags/5/tag,tags/5/month_to,tags/5/month_from
LCG,9626,9626,TRUE,LCG,LECO,A Coruña,a-coruna-a-coruna-spain-1,a-coruna-a-coruna-spain-1,Aeropuerto de La Coruña,403,171,172659,Europe/Madrid,a-coruna_es,A Coruña,LCG,a-coruna-spain,europe,Europe,europe,EU,southern-europe,Southern Europe,southern-europe,,,,ES,Spain,spain,ES,43.302222,-8.377222,VGO,156.24,6426.7,ES-BETA-BIBL,18.91,1061.5,ES-BETA-CIDA,18.98,1093.4,OVD,245.97,10245.5,ES-MINO-TRAI,24.77,1306.7,ES-CABA-AREA,32.88,1616.3,ES-PONT-TRAI,34.28,1727.7,ES-FENE-PERL,40.37,1995.7,ES-GUIT-BUSS,49.55,2278.9,SCQ,61.55,2942.8,4NU,9.16,799.1,YJC,9.36,759.8,sightseeing,-1,-1,family fun,-1,-1,beach,-1,-1,1175,1179,1225,santiago-de-compostela_poi,Santiago De Compostela,santiago-de-compostela,green-spain_poi,Green Spain,green-spain,galicia_poi,Galicia,galicia,artabro-gulf_poi,Artabro Gulf,artabro-gulf,the-english-route_poi,The English Route,the-english-route,1175,164789,FALSE,0,airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAL,2213,2213,TRUE,AAL,EKYT,Aalborg,aalborg-aalborg-denmark,aalborg-aalborg-denmark,Aalborg Lufthavn,404,177,71255,Europe/Copenhagen,aalborg_dk,Aalborg,AAL,aalborg-denmark,europe,Europe,europe,EU,northern-europe,Northern Europe,northern-europe,,,,DK,Denmark,denmark,DK,57.092778,9.849167,ZGX,102.56,5183.3,BYR,103.76,9491.5,ZKN,107.08,5843.1,ZAW,114.89,6809.8,ZTG,12.1,1208.9,ZID,135.43,5845.1,AAR,145.1,6740.1,ZRY,152.55,8082.3,QWO,154.35,8150,XAH,167.24,6919.6,ZIL,175.52,7183.4,XVX,197.78,7971.9,sightseeing,-1,-1,events,-1,-1,,,,1277,,,hisingen_poi,Hisingen,hisingen,,,,,,,,,,,,,,,FALSE,0,airport,BLL,222.15,9348.8,ZBJ,223.33,9108.4,ZBT,224.16,9035.8,vendsyssel-thy_poi,Vendsyssel-Thy,vendsyssel-thy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAR,2221,2221,TRUE,AAR,EKAH,Aarhus,aarhus-aarhus-denmark,aarhus-aarhus-denmark,Aarhus Lufthavn,439,214,70651,Europe/Copenhagen,aarhus_dk,Aarhus,AAR,aarhus-denmark,europe,Europe,europe,EU,northern-europe,Northern Europe,northern-europe,,,,DK,Denmark,denmark,DK,56.303889,10.619444,BLL,138.76,6224.1,CPH,190.44,10514.7,EBJ,197.28,7735.8,SGD,239.13,9496.3,ZID,41.71,2399.7,DK-AARH-AARH,42.11,2431.7,DK-RAND-RAND,45.96,2801.5,,,,,,,,,,,,,,,,sightseeing,-1,-1,beach,-1,-1,,,,1175,1277,,zealand_poi,Zealand,zealand,,,,,,,,,,,,,1175,304277,FALSE,0,airport,,,,,,,,,,louisiana-museum-of-modern-art_poi,Louisiana Museum of Modern Art,louisiana-museum-of-modern-art,vendsyssel-thy_poi,Vendsyssel-Thy,vendsyssel-thy,foteviken-viking_poi,Foteviken Viking,foteviken-viking,amager_poi,Amager,amager,funen_poi,Funen,funen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEG,6969,6969,TRUE,JEG,BGAA,Aasiaat,aasiaat-aasiaat-greenland,aasiaat-aasiaat-greenland,,2048,938,540,America/Godthab,aasiaat_gl,Aasiaat,JEG,aasiaat-greenland,north-america,North America,north-america,NA,northern-america,Northern America,northern-america,,,,GL,Greenland,greenland,GL,68.721111,-52.793611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,activities,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,0,airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIM,6296,6296,TRUE,JIM,HAJM,Aba Segud,aba-segud-jimma-ethiopia,aba-segud-jimma-ethiopia,,829,1006,798,Africa/Addis_Ababa,jimma_et,Jimma,JIM,jimma-ethiopia,africa,Africa,africa,AF,eastern-africa,Eastern Africa,eastern-africa,,,,ET,Ethiopia,ethiopia,ET,7.662778,36.818056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sightseeing,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,0,airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIR,1115,1115,TRUE,DIR,HADR,Aba Tenna Dejazmach Yilma International,aba-tenna-dejazmach-yilma-international-dire-dawa-ethiopia,aba-tenna-dejazmach-yilma-international-dire-dawa-ethiopia,,1587,789,3388,Africa/Addis_Ababa,dire-dawa_et,Dire Dawa,DIR,dire-dawa-ethiopia,africa,Africa,africa,AF,eastern-africa,Eastern Africa,eastern-africa,,,,ET,Ethiopia,ethiopia,ET,9.624722,41.854167,JIJ,171.47,12201.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sightseeing,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,0,airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHJ,9854,9854,TRUE,AHJ,ZUHY,Aba/Hongyuan,aba-hongyuan-aba-hongyuan-china,aba-hongyuan-aba-hongyuan-china,,2048,1145,267,Asia/Shanghai,aba-hongyuan_cn,Aba Hongyuan,AHJ,aba-hongyuan-china,asia,Asia,asia,AS,eastern-asia,Eastern Asia,eastern-asia,,,,CN,China,china,CN,32.53154,102.35224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sichuan_poi,Sichuan,sichuan,,,,,,,,,,,,FALSE,0,airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABA,6998,6998,TRUE,ABA,UNAA,Abakan International,abakan-international-abakan-russia,abakan-international-abakan-russia,Абакан,2048,871,762,Asia/Krasnoyarsk,abakan_si_ru,Abakan,ABA,abakan-russia,asia,Asia,asia,AS,central-asia,Central Asia,central-asia,,,,RU,Russia,russia,RU,53.74,91.385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sightseeing,-1,-1,,,,,,,1277,,,,,,,,,,,,,,,,,,,,FALSE,0,airport,,,,,,,,,,,,,,,,,,,,,,,,,SI_RU,Siberia Federal District,siberia-federal-district-russia,SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJA,6683,6683,TRUE,BJA,DAAE,Abane Ramdane,abane-ramdane-bejaia-algeria,abane-ramdane-bejaia-algeria,مطار بجاية الدولي - عبان رمضان,1376,312,73612,Africa/Algiers,bejaia_dz,Béjaïa,BJA,bejaia-algeria,africa,Africa,africa,AF,northern-africa,Northern Africa,northern-africa,,,,DZ,Algeria,algeria,DZ,36.711944,5.07,GJL,105.46,5877.7,QSF,115.1,6525.9,BLJ,222.24,11474.1,ALG,231.88,12284.7,CZL,236.74,11272.3,,,,,,,,,,,,,,,,,,,,,,activities,-1,-1,city break,-1,-1,,,,,,,,,,bejaia_poi,Bejaia,bejaia,,,,,,,,,,,,FALSE,0,airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YXX,6795,6795,TRUE,YXX,CYXX,Abbotsford International,abbotsford-international-abbotsford-british-columbia-canada,abbotsford-international-abbotsford-british-columbia-canada,,420,242,110342,America/Vancouver,abbotsford_bc_ca,Abbotsford,YXX,abbotsford-british-columbia-canada,north-america,North America,north-america,NA,northern-america,Northern America,northern-america,,,,CA,Canada,canada,CA,49.025278,-122.36056,YYJ,130.3,11281.8,YHS,133.14,9150.9,YGG,146.08,13345.1,ZNA,151.92,11712.5,PAE,154.52,7790.4,YWH,155.79,12811.8,YCD,165.97,12621.9,CA-ABBO-TRAI,18.96,1493.6,YWS,195.75,10695.3,CA-MISS-HARB,20.65,1482.3,SEA,209.77,10801.8,YPW,242.82,17002.2,sightseeing,-1,-1,activities,-1,-1,,,,1277,,,lulu-island_poi,Lulu Island,lulu-island,,,,,,,,,,,,,,,FALSE,0,airport,BLI,43.52,2989.2,US-BELL-WAST,48.24,3295.5,CXH,72.58,4096.4,museum-of-anthropology-vancouver-bc_poi,"Museum of Anthropology, Vancouver, BC",museum-of-anthropology,grouse-mountain_poi,Grouse Mountain,grouse-mountain,,,,,,,,,,BC_CA,British Columbia,british-columbia-canada,BC,YVR,80.09,4750.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
